131686369,44,186,154
119556444,72,1992,1730
157641741,37,1362,1263
171614951,25,535,484
190178952,67,3259,2574
112209064,43,1859,1933
104272746,64,1937,1950
115254465,33,609,618
115032820,72,1861,1674
27339544,74,2739,2647
227350621,0,1736,1578
324673583,56,1010,972
123585411,65,2050,1979
157973535,55,847,699
265935288,67,910,921
371781703,71,1026,715
82917758,67,925,758
124663400,74,3185,2848
191658094,71,2071,1957
218617319,67,642,561
94184032,71,3302,3281
306147787,37,991,908
410410459,51,530,425
189725985,55,899,775
317802748,45,383,305
138689078,61,1273,1265
138550754,46,1931,2008
141542401,53,955,965
137970554,55,1615,1572
330908568,54,537,469
350448446,52,227,196
239571823,67,1727,1642
145299858,57,636,535
346036594,62,882,897
412621409,55,581,526
170719686,72,2856,2498
196195938,80,906,833
165110447,80,4454,3928
105753381,80,1304,1388
139761397,80,2261,1941
320082709,67,1323,1241
142779691,66,577,491
200475976,66,1722,1655
97060201,71,3209,3161
287307172,71,488,500
401027366,72,1382,1300
88064891,64,71,62
287268008,65,2138,2166
149044441,67,1846,1650
408577739,65,811,840
101308178,67,4333,4329
157677327,67,664,515
102776662,66,1488,1323
346591262,42,602,553
196450145,67,1563,1287
210224303,55,684,634
109660572,44,784,850
127240699,66,1244,1209
35313236,67,2161,2099
102604735,42,1386,1474
176625723,62,1224,1208
440373106,52,31,25
128325052,71,2334,2106
280240504,77,2122,2029
877849015,73,466,345
413143271,67,203,160
145357736,67,2669,2523
114177799,80,4154,3837
466157535,65,243,214
358255204,75,956,842
229410871,54,599,741
199916977,57,393,413
431033121,52,202,240
330834722,55,1273,1439
128038772,63,1063,1123
184272770,56,1675,1426
198089326,61,2547,2422
135597492,26,782,895
408268167,32,675,659
184778885,25,678,579
392571068,44,496,507
336279557,52,561,439
907357063,56,129,130
330326113,80,359,117
181569502,80,1860,1774
150362377,80,701,415
168317263,80,2862,2694
476907358,80,2967,2692
147633611,80,2181,1981
182589992,62,2131,1908
371911902,34,546,448
145132230,0,1506,1429
329041323,64,68,64
167788550,42,1399,1350
384555969,37,216,218
331436358,36,193,168
106557003,43,196,170
355318965,41,480,449
197077082,43,797,781
130166542,67,2838,2641
151204993,67,2313,1876
157081230,42,877,774
